2023-07-29 20:16:28,587 INFO    MainThread:94949 [wandb_setup.py:_flush():76] Current SDK version is 0.15.7
2023-07-29 20:16:28,588 INFO    MainThread:94949 [wandb_setup.py:_flush():76] Configure stats pid to 94949
2023-07-29 20:16:28,588 INFO    MainThread:94949 [wandb_setup.py:_flush():76] Loading settings from /Users/vahid/.config/wandb/settings
2023-07-29 20:16:28,588 INFO    MainThread:94949 [wandb_setup.py:_flush():76] Loading settings from /Users/vahid/GitHub/lc_qa_chat/wandb/settings
2023-07-29 20:16:28,588 INFO    MainThread:94949 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-29 20:16:28,588 INFO    MainThread:94949 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-29 20:16:28,588 INFO    MainThread:94949 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'app.py', 'program': '/Users/vahid/GitHub/lc_qa_chat/app.py'}
2023-07-29 20:16:28,588 INFO    MainThread:94949 [wandb_init.py:_log_setup():507] Logging user logs to /Users/vahid/GitHub/lc_qa_chat/wandb/run-20230729_201628-dh7kehtz/logs/debug.log
2023-07-29 20:16:28,588 INFO    MainThread:94949 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/vahid/GitHub/lc_qa_chat/wandb/run-20230729_201628-dh7kehtz/logs/debug-internal.log
2023-07-29 20:16:28,589 INFO    MainThread:94949 [wandb_init.py:init():547] calling init triggers
2023-07-29 20:16:28,589 INFO    MainThread:94949 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-07-29 20:16:28,589 INFO    MainThread:94949 [wandb_init.py:init():596] starting backend
2023-07-29 20:16:28,589 INFO    MainThread:94949 [wandb_init.py:init():600] setting up manager
2023-07-29 20:16:28,595 INFO    MainThread:94949 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-07-29 20:16:28,599 INFO    MainThread:94949 [wandb_init.py:init():606] backend started and connected
2023-07-29 20:16:28,610 INFO    MainThread:94949 [wandb_init.py:init():697] updated telemetry
2023-07-29 20:16:28,623 INFO    MainThread:94949 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-07-29 20:16:29,030 INFO    MainThread:94949 [wandb_run.py:_on_init():2174] communicating current version
2023-07-29 20:16:29,105 INFO    MainThread:94949 [wandb_run.py:_on_init():2183] got version response 
2023-07-29 20:16:29,105 INFO    MainThread:94949 [wandb_init.py:init():781] starting run threads in backend
2023-07-29 20:16:29,162 INFO    MainThread:94949 [wandb_run.py:_console_start():2153] atexit reg
2023-07-29 20:16:29,163 INFO    MainThread:94949 [wandb_run.py:_redirect():2008] redirect: wrap_raw
2023-07-29 20:16:29,163 INFO    MainThread:94949 [wandb_run.py:_redirect():2073] Wrapping output streams.
2023-07-29 20:16:29,163 INFO    MainThread:94949 [wandb_run.py:_redirect():2098] Redirects installed.
2023-07-29 20:16:29,164 INFO    MainThread:94949 [wandb_init.py:init():822] run started, returning control to user process
